fee_code,fee_description,pct_of_total,net_charge,raw_line
SPRAIN,& STRAIN,4.41,1000.0,"SPRAIN & STRAIN  4.41% 20 visits $1,000.00 $1,000.0020"
PT,WCB,,,PT WCB
REPORT,,,,REPORT
ASSESSMENT/STATUS,ABV &,,,ASSESSMENT/STATUS ABV &
COMP/DISCHARGE,,,,COMP/DISCHARGE
0.71%,,0.71,160.0,0.71% 4 items $160.00 $160.004
PT,WCB,,,PT WCB
TRANS,,,,TRANS
TRANSITIONAL,VISIT,0.22,50.0,TRANSITIONAL VISIT  0.22% 1 visit $50.00 $50.001
RE-BOOKED,REBOOKED APPOINTMENT,0.0,0.0,RE-BOOKED REBOOKED APPOINTMENT  0.00% $0.00 $0.003
TALLAWAH,Soothe Muscle & Joint,0.82,186.96,TALLAWAH Soothe Muscle & Joint  0.82% 6 items $186.96 $186.964
2.00,units,,,2.00 units
176,visits; 15 items,,,176 visits; 15 items
27:15,hours,,,27:15 hours
KINESIOLOGIST,/ POST-REHAB TRAINING,0.79,180.0,KINESIOLOGIST / POST-REHAB TRAINING  0.79% $180.00 $180.00K-REV 2 visits
MEDICAL,REVENUE,0.48,110.0,MEDICAL REVENUE  0.48% $110.00 $110.00MD-REV 1 visit; Duration: 1:00 hours
MOT,,12.89,2925.0,"MOT 12.89% $2,925.00 $2,925.00MOT-REV 21 visits"
MASSAGE,,10.82,2454.5,"MASSAGE 10.82% $2,454.50 $2,454.50M-REV 24 visits; Duration: 23:00 hours"
ORTHOTICS,,4.63,1050.0,"ORTHOTICS  4.63% $1,050.00 $1,050.00O-REV 11 visits; 2 items"
PHYSICAL,THERAPY,51.54,11692.0,"PHYSICAL THERAPY 51.54% $11,692.00 $11,692.00PT-REV 98 visits; Duration: 3:15 hours"
PHYSIO,WITH SHOCKWAVE MODALITY,16.77,3805.0,"PHYSIO WITH SHOCKWAVE MODALITY 16.77% $3,805.00 $3,805.00SHOCKWAVE 19 visits"
TALLAWAH,TARGETED RELIEF,0.82,186.96,TALLAWAH TARGETED RELIEF  0.82% $186.96 $186.96T-REV 6 items
MISC.,PRODUCTS,0.0,0.0,MISC. PRODUCTS  0.00% $0.00 $0.00X-REV 2.00 units
