fee_code,fee_description,pct_of_total,net_charge,raw_line
COMPREHENSIVE,MSK,0.82,250.0,COMPREHENSIVE MSK  0.82% 1 visit $250.00 $250.001
PT,TRT SNR 1,,,PT TRT SNR 1
PLU,,,,PLU
SENIOR,TX PLUS RATE,0.33,100.0,SENIOR TX PLUS RATE  0.33% 1 visit $100.00 $100.001
PT,TRT SNR 2,,,PT TRT SNR 2
PLU,,,,PLU
MULTIPLE,PLUS SENIOR RATE,0.38,115.0,MULTIPLE PLUS SENIOR RATE  0.38% 1 visit $115.00 $115.001
PT,TRT SW PHYSIO SHOCKWAVE SINGLE AREA,5.57,1700.0,"PT TRT SW PHYSIO SHOCKWAVE SINGLE AREA  5.57% 10 visits $1,700.00 $1,700.0010"
PT,TRT SW,,,PT TRT SW
PLUS,,,,PLUS
SHOCKWAVE,SINGLE BODY AREA,,,SHOCKWAVE SINGLE BODY AREA
PLUS,ADDITIONAL RX,,,PLUS ADDITIONAL RX
1.48%,,1.48,450.0,1.48% 2 visits $450.00 $450.002
PT,WCB Phase,,,PT WCB Phase
2,,,,2
SPRAIN,& STRAIN,4.43,1350.0,"SPRAIN & STRAIN  4.43% 27 visits $1,350.00 $1,350.0027"
PT,WCB,,,PT WCB
REPORT,,,,REPORT
ASSESSMENT/STATUS,ABV &,,,ASSESSMENT/STATUS ABV &
COMP/DISCHARGE,,,,COMP/DISCHARGE
0.39%,,0.39,120.0,0.39% 3 items $120.00 $120.003
TALLAWAH,Soothe Dermal,2.75,838.8,TALLAWAH Soothe Dermal  2.75% 22 items $838.80 $838.8022
TIGER,TAIL,,,TIGER TAIL
"22""",,,,"22"""
TIGER,"TAIL 22"" MASSAGER",0.11,35.0,"TIGER TAIL 22"" MASSAGER  0.11% 1 item $35.00 $35.001"
2.00,units,,,2.00 units
196,visits; 49 items,,,196 visits; 49 items
37:30,hours,,,37:30 hours
ATHLETIC,THERAPY,2.26,690.0,ATHLETIC THERAPY  2.26% $690.00 $690.00AT-REV 2 visits
KINESIOLOGIST,/ POST-REHAB TRAINING,1.77,540.0,KINESIOLOGIST / POST-REHAB TRAINING  1.77% $540.00 $540.00K-REV 6 visits
MOT,,10.74,3275.0,"MOT 10.74% $3,275.00 $3,275.00MOT-REV 26 visits"
MASSAGE,,10.13,3090.0,"MASSAGE 10.13% $3,090.00 $3,090.00M-REV 34 visits; Duration: 31:30 hours"
ORTHOTICS,,24.1,7350.0,"ORTHOTICS 24.10% $7,350.00 $7,350.00O-REV 3 visits; 14 items"
PHYSICAL,THERAPY,39.51,12048.0,"PHYSICAL THERAPY 39.51% $12,048.00 $12,048.00PT-REV 113 visits; Duration: 6:00 hours"
PHYSIO,WITH SHOCKWAVE MODALITY,7.05,2150.0,"PHYSIO WITH SHOCKWAVE MODALITY  7.05% $2,150.00 $2,150.00SHOCKWAVE 12 visits"
TALLAWAH,TARGETED RELIEF,2.75,838.8,TALLAWAH TARGETED RELIEF  2.75% $838.80 $838.80T-REV 22 items
MISC.,PRODUCTS,0.86,262.83,MISC. PRODUCTS  0.86% $262.83 $262.83X-REV 2.00 units; 7 items
